Quartier,Arrondissement
1,Ahuntsic-Cartierville
2,Anjou
3,Beaconsfield
4,Côte-des-Neiges–Notre-Dame-de-Grâce
5,Côte-Saint-Luc
6,Dollard-Des Ormeaux
7,Dorval
8,Hampstead
9,Kirkland
10,Lachine
11,LaSalle
12,Le Plateau-Mont-Royal
13,Le Sud-Ouest
14,Mercier–Hochelaga-Maisonneuve
15,Montréal-Est
16,Montréal-Nord
17,Montréal-Ouest
18,Mont-Royal
19,Outremont
20,Pierrefonds-Roxboro
21,Pointe-Claire
22,Rivière-des-Prairies–Pointe-aux-Trembles
23,Rosemont–La Petite-Patrie
24,Saint-Laurent
25,Saint-Léonard
26,Verdun
27,Ville-Marie
28,Villeray–Saint-Michel–Parc-Extension
29,Westmount
