,dateIDm,Duration,Volume,dateIDm,Duration,Volume
0,201704,796.321956671742,175359,201704,796.321956671742,175359
1,201705,820.2363574299652,521456,201705,820.2363574299652,521456
2,201706,832.4552935562027,653776,201706,832.4552935562027,653776
3,201707,867.414583458278,767006,201707,867.414583458278,767006
4,201708,837.2943521639116,747720,201708,837.2943521639116,747720
5,201709,785.5917389267007,646623,201709,785.5917389267007,646623
6,201710,723.4672121687047,493857,201710,723.4672121687047,493857
7,201711,623.731259495594,131640,201711,623.731259495594,131640
8,201804,726.835318185465,224366,201804,726.835318185465,224366
9,201805,828.9998696089833,766924,201805,828.9998696089833,766924
10,201806,828.9998704509259,841380,201806,828.9998704509259,841380
11,201807,831.1913451604267,904026,201807,831.1913451604267,904026
12,201808,827.3165626188103,907435,201808,827.3165626188103,907435
13,201809,780.1740976364447,755599,201809,780.1740976364447,755599
14,201810,674.2922270595247,463068,201810,674.2922270595247,463068
15,201811,612.4271772483107,137203,201811,612.4271772483107,137203
16,201904,758.7654681820967,212129,201904,758.7654681820967,212129
17,201905,802.3616477434006,704600,201905,802.3616477434006,704600
18,201906,832.7482579393998,830195,201906,832.7482579393998,830195
19,201907,836.0559120641493,984081,201907,836.0559120641493,984081
20,201908,824.6495650611224,934844,201908,824.6495650611224,934844
21,201909,766.8521404670693,779713,201909,766.8521404670693,779713
22,201910,694.4603373860784,554439,201910,694.4603373860784,554439
23,202004,1023.9980931402364,60833,202004,1023.9980931402364,60833
24,202005,1068.2255052649193,322702,202005,1068.2255052649193,322702
25,202006,969.8400148446968,476938,202006,969.8400148446968,476938
26,202007,901.8142394228634,567214,202007,901.8142394228634,567214
27,202008,885.3897022814393,532953,202008,885.3897022814393,532953
28,202009,834.7748365188459,467638,202009,834.7748365188459,467638
29,202010,816.2699413222415,296194,202010,816.2699413222415,296194
30,202011,830.3196259001976,125528,202011,830.3196259001976,125528
